mpg,cylinders,displayments,horsepower,weight,acceleration,model year,origin,car name,outlier,car brand,model,anomaly_score,multivariate_outlier,car_name_encoded
18.0,8.0,307.0,130.0,3504.0,12.0,70,1,chevrolet chevelle malibu,Normal,chevrolet,chevelle malibu,1,Normal,5
15.0,8.0,350.0,165.0,3693.0,11.5,70,1,buick skylark 320,Normal,buick,skylark 320,1,Normal,3
18.0,8.0,318.0,150.0,3436.0,11.0,70,1,plymouth satellite,Normal,plymouth,satellite,1,Normal,19
16.0,8.0,304.0,150.0,3433.0,12.0,70,1,amc rebel sst,Normal,amc,rebel sst,1,Normal,0
17.0,8.0,302.0,140.0,3449.0,10.5,70,1,ford torino,Normal,ford,torino,1,Normal,10
15.0,8.0,429.0,198.0,4341.0,10.0,70,1,ford galaxie 500,Normal,ford,galaxie 500,1,Normal,10
15.0,8.0,390.0,190.0,3850.0,8.5,70,1,amc ambassador dpl,Normal,amc,ambassador dpl,1,Normal,0
15.0,8.0,383.0,170.0,3563.0,10.0,70,1,dodge challenger se,Normal,dodge,challenger se,1,Normal,8
15.0,8.0,400.0,150.0,3761.0,9.5,70,1,chevrolet monte carlo,Normal,chevrolet,monte carlo,1,Normal,5
24.0,4.0,113.0,95.0,2372.0,15.0,70,3,toyota corona mark ii,Normal,toyota,corona mark ii,1,Normal,24
22.0,6.0,198.0,95.0,2833.0,15.5,70,1,plymouth duster,Normal,plymouth,duster,1,Normal,19
18.0,6.0,199.0,97.0,2774.0,15.5,70,1,amc hornet,Normal,amc,hornet,1,Normal,0
21.0,6.0,200.0,85.0,2587.0,16.0,70,1,ford maverick,Normal,ford,maverick,1,Normal,10
27.0,4.0,97.0,88.0,2130.0,14.5,70,3,datsun pl510,Normal,datsun,pl510,1,Normal,7
26.0,4.0,97.0,46.0,1835.0,20.5,70,2,volkswagen 1131 deluxe sedan,Normal,volkswagen,1131 deluxe sedan,1,Normal,26
25.0,4.0,110.0,87.0,2672.0,17.5,70,2,peugeot 504,Normal,peugeot,504,1,Normal,18
24.0,4.0,107.0,90.0,2430.0,14.5,70,2,audi 100 ls,Normal,audi,100 ls,1,Normal,1
25.0,4.0,104.0,95.0,2375.0,17.5,70,2,saab 99e,Normal,saab,99e,1,Normal,22
26.0,4.0,121.0,113.0,2234.0,12.5,70,2,bmw 2002,Normal,bmw,2002,1,Normal,2
21.0,6.0,199.0,90.0,2648.0,15.0,70,1,amc gremlin,Normal,amc,gremlin,1,Normal,0
11.0,8.0,318.0,210.0,4382.0,13.5,70,1,dodge d200,Normal,dodge,d200,1,Normal,8
27.0,4.0,97.0,88.0,2130.0,14.5,71,3,datsun pl510,Normal,datsun,pl510,1,Normal,7
28.0,4.0,140.0,90.0,2264.0,15.5,71,1,chevrolet vega 2300,Normal,chevrolet,vega 2300,1,Normal,5
25.0,4.0,113.0,95.0,2228.0,14.0,71,3,toyota corona,Normal,toyota,corona,1,Normal,24
25.0,4.0,98.0,60.0,2046.0,19.0,71,1,ford pinto,Normal,ford,pinto,1,Normal,10
19.0,6.0,232.0,100.0,2634.0,13.0,71,1,amc gremlin,Normal,amc,gremlin,1,Normal,0
16.0,6.0,225.0,105.0,3439.0,15.5,71,1,plymouth satellite custom,Normal,plymouth,satellite custom,1,Normal,19
17.0,6.0,250.0,100.0,3329.0,15.5,71,1,chevrolet chevelle malibu,Normal,chevrolet,chevelle malibu,1,Normal,5
19.0,6.0,250.0,88.0,3302.0,15.5,71,1,ford torino 500,Normal,ford,torino 500,1,Normal,10
18.0,6.0,232.0,100.0,3288.0,15.5,71,1,amc matador,Normal,amc,matador,1,Normal,0
14.0,8.0,350.0,165.0,4209.0,12.0,71,1,chevrolet impala,Normal,chevrolet,impala,1,Normal,5
14.0,8.0,400.0,175.0,4464.0,11.5,71,1,pontiac catalina brougham,Normal,pontiac,catalina brougham,1,Normal,20
14.0,8.0,351.0,153.0,4154.0,13.5,71,1,ford galaxie 500,Normal,ford,galaxie 500,1,Normal,10
14.0,8.0,318.0,150.0,4096.0,13.0,71,1,plymouth fury iii,Normal,plymouth,fury iii,1,Normal,19
12.0,8.0,383.0,180.0,4955.0,11.5,71,1,dodge monaco (sw),Normal,dodge,monaco (sw),1,Normal,8
13.0,8.0,400.0,170.0,4746.0,12.0,71,1,ford country squire (sw),Normal,ford,country squire (sw),1,Normal,10
13.0,8.0,400.0,175.0,5140.0,12.0,71,1,pontiac safari (sw),Normal,pontiac,safari (sw),1,Normal,20
18.0,6.0,258.0,110.0,2962.0,13.5,71,1,amc hornet sportabout (sw),Normal,amc,hornet sportabout (sw),1,Normal,0
22.0,4.0,140.0,72.0,2408.0,19.0,71,1,chevrolet vega (sw),Normal,chevrolet,vega (sw),1,Normal,5
19.0,6.0,250.0,100.0,3282.0,15.0,71,1,pontiac firebird,Normal,pontiac,firebird,1,Normal,20
18.0,6.0,250.0,88.0,3139.0,14.5,71,1,ford mustang,Normal,ford,mustang,1,Normal,10
23.0,4.0,122.0,86.0,2220.0,14.0,71,1,mercury capri 2000,Normal,mercury,capri 2000,1,Normal,14
28.0,4.0,116.0,90.0,2123.0,14.0,71,2,opel 1900,Normal,opel,1900,1,Normal,17
30.0,4.0,79.0,70.0,2074.0,19.5,71,2,peugeot 304,Normal,peugeot,304,1,Normal,18
